nest.id,nest,area,sub_area,year,Clutch_size,no.nestlings,prop.hatched,no.fledged,prop.fledged,A2_nestling,B2_nestling,A1_nestling,Clutch_initiation_date,Clutch_initiation_day,Nestbox,cover
N0057,nest_255,G1E,G1E,2016,1,1,1,1,1,NA,NA,1,27/05/2016,148,Yes,NA
N0058,nest_301,4BS,4B2,2016,2,2,1,1,0.5,1,0,NA,27/05/2016,148,Yes,NA
N0059,nest_305,4BS,4B2,2016,2,1,0.5,1,1,1,NA,NA,27/05/2016,148,Yes,NA
N0060,nest_310,4BS,4B2,2016,2,2,1,1,0.5,1,0,NA,27/05/2016,148,Yes,NA
N0061,nest_349,G1E,G1E,2016,2,2,1,1,0.5,1,0,NA,27/05/2016,148,Yes,NA
N0062,nest_R103,4BS,4B1,2016,1,0,0,NA,NA,NA,NA,NA,27/05/2016,148,No,3
N0063,nest_R104,6S,6SUT,2016,2,2,1,0,0,0,0,NA,27/05/2016,148,No,1
N0064,nest_R107,G1E,G1E,2016,1,1,1,1,1,NA,NA,1,27/05/2016,148,Yes,NA
N0065,nest_21,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,28/05/2016,149,Yes,NA
N0066,nest_33,4AS,4A1,2016,1,1,1,1,1,NA,NA,1,28/05/2016,149,Yes,NA
N0067,nest_38,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,28/05/2016,149,Yes,NA
N0068,nest_44,4AS,4A2,2016,2,1,0.5,1,1,1,NA,NA,28/05/2016,149,Yes,NA
N0069,nest_46,4AS,4A2,2016,1,1,1,1,1,NA,NA,1,28/05/2016,149,Yes,NA
N0070,nest_51,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,28/05/2016,149,Yes,NA
N0071,nest_55,4AS,4A2,2016,1,1,1,1,1,NA,NA,1,28/05/2016,149,Yes,NA
N0072,nest_102,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,28/05/2016,149,Yes,NA
N0073,nest_104,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,28/05/2016,149,Yes,NA
N0074,nest_108,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,28/05/2016,149,Yes,NA
N0075,nest_128,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,28/05/2016,149,Yes,NA
N0076,nest_130,4BS,4B1,2016,2,2,1,1,0.5,1,0,NA,28/05/2016,149,Yes,NA
N0077,nest_135,4BS,4B1,2016,1,1,1,0,0,NA,NA,0,28/05/2016,149,Yes,NA
N0078,nest_206,6S,6SUT,2016,1,1,1,1,1,NA,NA,1,28/05/2016,149,Yes,NA
N0079,nest_313,4BS,4B2,2016,2,2,1,1,0.5,1,0,NA,28/05/2016,149,Yes,NA
N0080,nest_53A,4AS,4A2,2016,1,1,1,1,1,NA,NA,1,28/05/2016,149,Yes,NA
N0081,nest_R105,4BS,4B1,2016,2,2,1,0,0,0,0,NA,28/05/2016,149,No,3
N0082,nest_R106,6S,6SUT,2016,2,1,0.5,0,0,0,NA,NA,28/05/2016,149,No,1
N0083,nest_R108,G1E,G1E,2016,2,2,1,1,0.5,1,0,NA,28/05/2016,149,Yes,NA
N0084,nest_7,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,Yes,NA
N0085,nest_18,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,Yes,NA
N0086,nest_23,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,Yes,NA
N0087,nest_26,4AS,4A1,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,Yes,NA
N0088,nest_41,4AS,4A1,2016,1,1,1,1,1,NA,NA,1,29/05/2016,150,Yes,NA
N0089,nest_43,4AS,4A2,2016,2,1,0.5,1,1,1,NA,NA,29/05/2016,150,Yes,NA
N0090,nest_48,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,Yes,NA
N0091,nest_49,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,Yes,NA
N0092,nest_52,4AS,4A2,2016,1,1,1,0,0,NA,NA,0,29/05/2016,150,Yes,NA
N0093,nest_54,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,Yes,NA
N0094,nest_61,4AS,4A2,2016,2,1,0.5,1,1,1,NA,NA,29/05/2016,150,Yes,NA
N0095,nest_65,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,Yes,NA
N0096,nest_68,4AS,4A2,2016,2,2,1,1,0.5,1,0,NA,29/05/2016,150,Yes,NA
N0097,nest_109,4BS,4B1,2016,2,2,1,0,0,0,0,NA,29/05/2016,150,Yes,NA
N0098,nest_119,4BS,4B1,2016,3,3,1,1,0.333333333,1,0,NA,29/05/2016,150,Yes,NA
N0099,nest_126,4BS,4B1,2016,2,2,1,2,1,1,1,NA,29/05/2016,150,Yes,NA
